Index,Firm/Fund,Company,Business Description,Primary Industry (CIQ/GICS),Topic Tags,Geography,BERT_Score,Rule_Based_Score,Final_Score
12,BP p.l.c.,"Cedar Creek II, LLC","Cedar Creek II, LLC was founded in 2011 and is based in Houston, Texas. Cedar Creek II, LLC operates as a subsidiary of BP America Limited.",Heavy Electrical Equipment,,United States and Canada,3,1,3
13,BP p.l.c.,"Champion Solar, LLC","Champion Solar, LLC is based in the United States.",,,United States and Canada,3,1,3
14,BP p.l.c.,"Cleopatra Gas Gathering Company, LLC","Cleopatra Gas Gathering Company, LLC owns and operates a gas gathering pipeline. The company was founded in 2001 and is headquartered in the United States. Cleopatra Gas Gathering Company, LLC operates as a subsidiary of BP America Limited.",Oil and Gas Storage and Transportation,,United States and Canada,1,1,1
15,BP p.l.c.,CNOOC Yacheng Operating Company,"CNOOC Yacheng Operating Company operates natural gas field. The company is based in Shenzhen, China. CNOOC Yacheng Operating Company operates as a subsidiary of CNOOC Ltd.",Oil and Gas Exploration and Production,,Asia-Pacific,1,1,1
16,BP p.l.c.,Coastal Oil Logistics Limited,"Coastal Oil Logistics Limited operates vessels that transport a range of products, including regular motor spirits, premium motor spirits, jet fuel, automotive gas oils, vessel bunker fuel, and bitumen from refining New Zealand to coastal ports around New Zealand. The company was incorporated in 1999 and is based in Wellington, New Zealand. Coastal Oil Logistics Limited is a joint venture of BP Oil New Zealand Limited, Mobil Oil New Zealand Limited, and Z Energy Limited. Coastal Oil Logistics Limited operates as a subsidiary of Z Energy Limited",Marine Transportation,,Asia-Pacific,2,1,2
17,BP p.l.c.,Combined Refuelling Services V.O.F.,"Combined Refuelling Services V.O.F. provides into-plane fuelling services. The company is based in Schiphol, the Netherlands.",Aerospace and Defense,,Europe,2,1,2
18,BP p.l.c.,Electric Hydrogen Co.,"Electric Hydrogen Co. produces hydrogen gas by using renewable electricity. It decarbonizes the polluting industrial sectors, such as fertilizers, chemicals, steel, and bulk energy storage and transport. The company also offers a toolkit, including the levelized cost of green hydrogen used to provide an annual cash flow table and estimate the cost of green H2 production and the project IRR, as well as an advanced levelized cost of green hydrogen incorporating a comprehensive set of plant and operational parameters, such as hybrid solar and wind power supply, renewable capacity over-sizing, water supply cost, support mechanisms (grants and tax credits), and storage sizing and costing. Electric Hydrogen Co. was incorporated in 2020 and is based in Natick, Massachusetts with additional offices in San Carlos and San Jose, California; and Devens, Massachusetts.",Oil and Gas Exploration and Production,"CleanTech,  Energy Storage,  Energy Management",United States and Canada,3,4,3
19,BP p.l.c.,"Elk Hill Solar 2 Holdings, LLC","Elk Hill Solar 2 Holdings, LLC was incorporated in 2020 and is based in Wilmington, Delaware.",,,United States and Canada,3,1,3
20,BP p.l.c.,"Endymion Oil Pipeline Company, LLC","Endymion Oil Pipeline Company, LLC owns and operates a crude oil pipeline. The company is incorporated in 2002 and is headquartered in Houston, Texas. Endymion Oil Pipeline Company, LLC operates as a subsidiary of BP America Limited.",Oil and Gas Storage and Transportation,,United States and Canada,1,1,1
21,BP p.l.c.,Erdöl-Lagergesellschaft m.b.H.,"Erdöl-Lagergesellschaft m.b.H., through its subsidiaries, provides oil stockholding services for multinational and local oil companies in Austria. The company engages in planning, constructing, and renting tank farms; acquiring, renting, and disposing land and buildings; and storing crude oil, petroleum products, bio feedstocks, and heating and transportation biofuels. It also provides advice, reporting, and data protection services; and assumes stockholding obligations. The company is based in Lannach, Austria. Erdöl-Lagergesellschaft m.b.H. operates as a subsidiary of BP Global Investments Limited.",Oil and Gas Storage and Transportation,"Data Protection,  Backup and Recovery,  Network Security",Europe,2,2,2
22,BP p.l.c.,Ermak Neftegaz LLC,"Ermak Neftegaz LLC operates as an oil and gas extraction company. Ermak Neftegaz LLC was founded in 2012 and is based in Moscow, Russia. Ermak Neftegaz LLC operates as a subsidiary of public joint stock company Rosneft Oil Company.",Oil and Gas Exploration and Production,,Europe,1,1,1
23,BP p.l.c.,Fsh Flughafen Schwechat-Hydranten-Gesellschaft Gmbh & Co Og,,Specialized Consumer Services,,Europe,4,1,4
24,BP p.l.c.,Gardermoen Fuelling Services AS,"Gardermoen Fuelling Services AS supplies fuel for aircraft. The company was incorporated in 1998 and is based in Gardermoen, Norway.",Aerospace and Defense,,Europe,2,1,2
25,BP p.l.c.,"Glade Solar Construction, LLC","Glade Solar Construction, LLC operates as a subsidiary of BP International Limited.",,,United States and Canada,3,1,3
26,BP p.l.c.,Grid Edge Limited,"Grid Edge Limited develops Artificial Intelligence (AI) and machine-learning software for commercial and public building owners to control and optimize their building’s energy loads. The company's AI software solutions reduce energy costs, cut carbon emissions, and transform on-site energy technologies into revenue-earning assets. The company was founded in 2016 and is headquartered in Birmingham, United Kingdom.",Systems Software,"ClimateTech,  Artificial Intelligence,  Machine Learning,  Energy Efficiency, Ai Software, Artificial Intelligence, Carbon Emission",Europe,4,1,4
27,BP p.l.c.,In Salah Gas Limited,"In Salah Gas Limited explores, produces, and markets natural gas. In Salah Gas Limited was incorporated in 1997 and is based in St. Helier, Jersey.",Oil and Gas Exploration and Production,,Europe,1,1,1
28,BP p.l.c.,In Salah Gas Services Limited,,Advertising,,Europe,3,1,3
29,BP p.l.c.,Inland Corporation,"Inland Corporation transports refined products in Ohio. It operates pipelines that transport various grades of gasoline, diesel, and jet fuel from injection points on its system. The company was founded in 1938 and is based in West Salem, Ohio. Inland Corporation operates as a subsidiary of Energy Transfer Operating, L.P.",Oil and Gas Storage and Transportation,,United States and Canada,2,1,2
30,BP p.l.c.,Lightsource Bodegas 2 Limited,"Lightsource Bodegas 2 Limited operates as an electric utilities company. It was incorporated in 2015 and is based in London, United Kingdom. Lightsource Bodegas 2 Limited operates as a subsidiary of Lightsource Finca 2 Limited.",Electric Utilities,"Smart Energy, Utilities Company",Europe,3,1,3
31,BP p.l.c.,Lightsource Elk Hill 2 Solar Limited,"Lightsource Elk Hill 2 Solar Limited is a construction and engineering company. It was incorporated in 2015 and is headquartered in London, United Kingdom. Lightsource Elk Hill 2 Solar Limited operates as a subsidiary of Lightsource Elk Hill Solar 2 Holdings Limited.",Construction and Engineering,,Europe,4,1,4
32,BP p.l.c.,Lightsource ELK Hill Solar 2 Holdings Limited,"Lightsource ELK Hill Solar 2 Holdings Limited, which through its subsidiary, operates as a construction and engineering company. Lightsource ELK Hill Solar 2 Holdings Limitedwas formerly known as Lightsource SPV 227 Limited and changed its name to Lightsource ELK Hill Solar 2 Holdings Limited in June 2020. The company was incorporated in 2015 and is based in London, United Kingdom. Lightsource ELK Hill Solar 2 Holdings Limited operates as a subsidiary of Lightsource Holdings 3 Limited",Construction and Engineering,,Europe,4,1,4
33,BP p.l.c.,Lightsource Poland Holdings (UK) Limited,"Lightsource Poland Holdings (UK) Limited was formerly known as Lightsource SPV 255 Limited and changed its name to Lightsource Poland Holdings (UK) Limited in October 2020. Lightsource Poland Holdings (UK) Limited was incorporated in 2015 and is headquartered in London, United Kingdom. Lightsource Poland Holdings (UK) Limited operates as a subsidiary of Lightsource Holdings 3 Limited.",Electric Utilities,,Europe,3,1,3
34,BP p.l.c.,Lightsource Property Investments 1 Ltd,"Lightsource Property Investments 1 Ltd was incorporated in 2019 and is based in London, United Kingdom. Lightsource Property Investments 1 Ltd operates as a subsidiary of Lightsource Property Investment Holdings Ltd",Multi-Sector Holdings,,Europe,4,1,4
35,BP p.l.c.,Lightsource Renewable Energy Ireland Limited,"Lightsource Renewable Energy Ireland Limited develops and operates solar farms and rooftop installations in Britain and Ireland. The company was incorporated in 2015 and is based in Dublin, Ireland. Lightsource Renewable Energy Ireland Limited operates as a subsidiary of Lightsource Holdings 3 Limited",Renewable Electricity,"Clean Energy, Solar Farm",Europe,4,5,5
36,BP p.l.c.,Lightsource Renewable Energy Netherlands Holdings B.V.,"Lightsource Renewable Energy Netherlands Holdings B.V. is based in Amsterdam, the Netherlands.",Multi-Sector Holdings,,Europe,3,1,3
37,BP p.l.c.,Lightsource SPV 26 Limited,"Lightsource SPV 26 Limited constructs and operates solar power plants and generates solar power. The company was incorporated in 2011 and is headquartered in London, United Kingdom. Lightsource SPV 26 Limited operates as a subsidiary of Lightsource Radiate 2 Limited.",Renewable Electricity,"CleanTech,  Clean Energy, Solar Power, Solar Power Plant",Europe,3,5,5
38,BP p.l.c.,Magnus Noord Management Ab,,Research and Consulting Services,,Europe,3,1,3
39,BP p.l.c.,N.V. Rotterdam-Rijn Pijpleiding Maatschappij,N.V. Rotterdam-Rijn Pijpleiding Maatschappij operates as a subsidiary of Shell plc.,Oil and Gas Storage and Transportation,,Europe,2,1,2
40,BP p.l.c.,Paul Harling Mineralöle Gmbh & Co. Kg,,Oil and Gas Refining and Marketing,,Europe,1,1,1
41,BP p.l.c.,Prince William Sound Oil Spill Response Corporation,Prince William Sound Oil Spill Response Corporation owns and operates oil spill equipment used for pipeline transportation of oil. The company is based in the United States.,Oil and Gas Equipment and Services,,United States and Canada,1,1,1
42,BP p.l.c.,PT Vico Indonesia,"PT Vico Indonesia engages in oil and gas drilling activities. PT Vico Indonesia was formerly known as HUFFCO. The company was founded in 1972 and is based in Jakarta, Indonesia.",Oil and Gas Drilling,,Asia-Pacific,2,1,2
43,BP p.l.c.,Rio Grande Pipeline Company,"Rio Grande Pipeline Company provides interstate and intrastate liquid petroleum gases (LPG) pipeline transportation services. The company is based in Dallas, Texas. As of December 1, 2009, Rio Grande Pipeline Company operates as a subsidiary of Enterprise Products Operating LLC.",Oil and Gas Storage and Transportation,,United States and Canada,1,1,1
44,BP p.l.c.,Saraco SA,Saraco SA was founded in 1966 and is headquartered in Switzerland.,Airport Services,,Europe,3,1,3
45,BP p.l.c.,Sharjah Aviation Services L.L.C,"Sharjah Aviation Services LLC provides airport cargo handling services; support airport operations, including passenger handling, ramp handling, baggage handling, station management and flight supervision; air transportation services, including cabin and aircraft exterior cleaning services; management services for airlines. The company was founded in 2007 and is based in Sharjah, United Arab Emirates. Sharjah Aviation Services L.L.C operates as a subsidiary of Air Arabia PJSC.",Air Freight and Logistics,,Africa / Middle East,3,5,5
46,BP p.l.c.,Sinergia Aragonesa S.L.,Sinergia Aragonesa S.L. operates as a subsidiary of BP International Limited.,Construction and Engineering,,Europe,3,1,3
47,BP p.l.c.,"Starr Solar Ranch, LLC","Starr Solar Ranch, LLC was incorporated in 2018 and is based in Austin, Texas.",Renewable Electricity,,United States and Canada,3,1,3
48,BP p.l.c.,StoreDot Ltd.,"StoreDot Ltd. develops batteries and ground-breaking battery technologies based on the design and synthesis of both organic and inorganic compounds. Its proprietary compounds combined with nanomaterials and optimizes the fast charging of electric vehicles. It also develops XFC batteries that charges in few minutes. The company was incorporated in 2012 and is based in Herzliya, Israel.",Electrical Components and Equipment,"ClimateTech,  Electric Vehicle",Africa / Middle East,3,1,3
49,BP p.l.c.,Tanap Dogalgaz Iletim Anonim Sirketi,"Tanap Dogalgaz Iletim Anonim Sirketi engages in the transportation of the natural gas. The company was founded in 2015 and is based in Çankaya, Turkey. Tanap Dogalgaz Iletim Anonim Sirketi operates as a subsidiary of BP Pipelines (Tanap) Limited.",Oil and Gas Storage and Transportation,,Europe,1,1,1
50,BP p.l.c.,The Baku-Tbilisi-Ceyhan Pipeline Co.,"The Baku-Tbilisi-Ceyhan Pipeline Co. engages in the construction and operation of Baku-Tbilisi-Ceyhan pipeline that transport crude oil from Azerbaijan to Turkey. The company was founded in 2002 and is based in Baku, Azerbaijan.",Oil and Gas Storage and Transportation,,Europe,1,1,1
51,BP p.l.c.,The Consolidated Petroleum Supply Company Limited,"The Consolidated Petroleum Supply Company Limited was incorporated in 1960 and is based in London, United Kingdom. The Consolidated Petroleum Supply Company Limited operates as a subsidiary of Consolidated Petroleum Company Limited(The).",Real Estate Operating Companies,,Europe,1,1,1
52,BP p.l.c.,"The Gill & Duffus Group, Ltd.","The Gill & Duffus Group, Ltd. offers commodity trading and brokerage services. The company is based in London, United Kingdom.",Investment Banking and Brokerage,,Europe,4,1,4
53,BP p.l.c.,Thornton Transportation LLC,Thornton Transportation LLC operates as a subsidiary of BP America Limited.,,,United States and Canada,3,1,3
54,BP p.l.c.,TLK Holding Company LLC,"TLK Holding Company LLC was incorporated in 2018 and is based in Boston, Massachusetts. TLK Holding Company LLC operates as a subsidiary of BP America Limited.",,,United States and Canada,4,1,4
55,BP p.l.c.,Tlk Intermediate Holding Company LLC,"TLK Intermediate Holding Company LLC was founded in 2018 and is based in Delaware, United States. TLK Intermediate Holding Company LLC operates as a subsidiary of BP America Limited.",,,United States and Canada,4,1,4
56,BP p.l.c.,Walton-Gatwick Pipeline Company Limited,"Walton-Gatwick Pipeline Company Limited operates as a non-trading company. Walton-Gatwick Pipeline Company Limited was incorporated in 1983 and is based in Herts, United Kingdom. Walton-Gatwick Pipeline Company Limited operates as a subsidiary of Shell U.K. Limited.",,,Europe,2,1,2
57,BP p.l.c.,Wellington North Solar Farm Proprietary Limited,"Wellington North Solar Farm Proprietary Limited was incorporated in 2017 and is headquartered in Docklands, Australia.",,,Asia-Pacific,3,1,3
58,BP p.l.c.,West Wyalong Finco Pty. Ltd.,"West Wyalong Finco Pty Ltd was incorporated in 2020 and is based in Melbourne, Australia.",,,Asia-Pacific,3,1,3
59,BP p.l.c.,Wiri Oil Services Limited,"Wiri Oil Services is a major fuel supplier in Auckland and throughout New Zealand. The company operates the Wiri Terminal, which stores and distributes about 95% of the Auckland region's fuel supplies and about 40% of New Zealand's fuel supplies. The terminal and the fuel pipeline known as Wiri to Airport Pipeline are recognized as significant fuel distributors in the country. Wiri Oil Services is committed to delivering high levels of operational safety and reliability.",Oil and Gas Storage and Transportation,,Asia-Pacific,1,1,1
60,BP p.l.c.,Xpansiv Limited,"Xpansiv Limited operates as a commodity exchange for new asset-class data. It offers registration, management, trading, settlement, retirement, analysis, and reporting of data-driven environmental commodities. Xpansiv Limited was formerly known as Xpansiv CBL Holding Group Limited and changed its name to Xpansiv Limited in May 2021. The company was founded in 2016 and is based in San Francisco, California with additional offices in Sydney and Bendigo, Australia; New York, New York; Seattle, Washington; Houston, Texas; Vancouver, Canada; London, United Kingdom; and Milan, Italy.",Financial Exchanges and Data,,United States and Canada,4,1,4
61,BP p.l.c.,Zeus Renewables Ltd,"Zeus Renewables Ltd is a research and consulting services company. It offers advice, guidance, and operational assistance to businesses and organisations on cost reduction and financial issues, compensation, and retirement strategies. The company was incorporated in 2012 and is based in Manchester, United Kingdom. Zeus Renewables Ltd operates as a subsidiary of BP America Limited.",Research and Consulting Services,,Europe,4,1,4
62,BP p.l.c.,Zonneweide Westdorperveen B.V.,"Zonneweide Westdorperveen B.V. is based in Amsterdam, the Netherlands.",Diversified Support Services,,Europe,3,1,3
63,BP p.l.c.,"Zubie, Inc.","Zubie, Inc., a mobile and Internet service company, develops a fleet tracking device to track vehicles, check engine light interpretation, detect low batteries, monitor and coach driving scores, and compete with friends using leaderboards. It offers location services for connecting and protecting family members, monitoring and alerting based on location geo-fences and ad-hoc location-sharing, and driving analytics services, such as dashboards, reports, and analytics on driving, trips, and car performance with helpful comparisons. The company also provides social services to share, compare, and compete based on how users drive and where they go using scores, badges, and leader boards; and fleet management for microbusiness services, such as driver-scoring for route and fuel efficiency, geo-fencing, and dashboards to manage assets and drivers. In addition, the company offers vehicle health services with data on cars, alerts, codes, and problems; suggested repairs and costs; and data to predict future repair costs and true car value. Further, the company provides a Zubie application to keep tabs on family members, place alerts, and invite friends to share locations; and Zubie, a platform to transform virtually various cars into connected cars. It connects car owners and drivers with compelling rewards, offers, and services, such as insurance discounts, maintenance services, and trade-in offers based on their specific driving or vehicle data. It sells its products online. Zubie, Inc. was formerly known as Greenlight Connectivity Solutions, Inc. The company was incorporated in 2012 and is based in Bloomington, Minnesota.",Communications Equipment,"GPS,  Fleet Management, Fleet Tracking, Tracking Device",United States and Canada,4,1,4
64,BP p.l.c.,"Aulton New Energy Automotive Technology Co., Ltd.","Aulton New Energy Automotive Technology Co., Ltd. develops battery swapping technology for electric vehicles. It manufactures battery quick-change equipment and operates power stations to install batteries in taxis and vehicles used to provide car-hailing services. The company is headquartered in Shanghai, China with an additional office in Guangzhou, China.",Heavy Electrical Equipment,"ClimateTech,  Power Grid,  Electric Vehicle, Power Station",Asia-Pacific,4,1,4
65,BP p.l.c.,GETEC ENERGIE GmbH,"GETEC ENERGIE GmbH operates as an independent energy service provider that distributes electricity in Germany. It offers power and sustainable energy supply, marketing green electricity, power plant marketing, market access, and e-charging infrastructure, and mobility solutions. It serves industrial companies, chain stores, energy advisors, energy producers, energy supply companies, real estate, and public sectors. The company was founded in 2001 and is based in Hanover, Germany. It has additional offices in Capelle aan den IJssel, the Netherlands; Vienna, Austria; and Munich, Magdeburg, and Henstedt-Ulzburg, Germany. GETEC ENERGIE GmbH operates as a subsidiary of GETEC ENERGIE HOLDING GmbH.",Electric Utilities,"Micro-Mobility,  Clean Energy, Mobility Solution, Sustainable Energy",Europe,3,5,5
66,BP p.l.c.,The Trans Anatolian Gas Pipeline Company B.V.,"The Trans Anatolian Gas Pipeline Company B.V. engages in the transportation of the natural gas from the fields of Azerbaijan to Europe. The company was founded in 2012 and is based in Ankara, Turkey. The Trans Anatolian Gas Pipeline Company B.V. operates as a subsidiary of State Oil Company of the Azerbaijan Republic.",Oil and Gas Storage and Transportation,,Europe,1,1,1
67,BP p.l.c.,TAAS-Yuryakh Neftegazodobycha LLC,"TAAS-Yuryakh Neftegazodobycha LLC engages in the exploration and production of oil and gas. The company sells crude oil, gas, and petroleum products in the domestic and international markets. It also owns crude oil and petroleum production transshipment facilities. The company was founded in 2000 and is based in Lensk, Russia. TAAS-Yuryakh Neftegazodobycha LLC operates as a subsidiary of BP Russian Investments Limited.",Oil and Gas Exploration and Production,,Europe,1,1,1
68,BP p.l.c.,Public Joint Stock Company Rosneft Oil Company,"Public Joint Stock Company Rosneft Oil Company, together with its subsidiaries, engages in the exploration, production, development, and sale of oil and gas properties in Russia. The company’s flagship project, Vostok Oil, comprises 52 license areas located in the north of the Krasnoyarsk Krai and Yamal-Nenets Autonomous district that includes 13 oil and gas fields in the Vankor and Payakha Clusters. It is also involved in petroleum refining; and producing petrochemicals products, such as petroleum gas, methyl tert-amyl ether and benzol, phenol, acetone, alphamethylstyrene, olefins, and para-tert-butylphenol, as well as lubricants, including base and industrial oils; motor and transmission oils for cars and trucks, buses, agricultural and special-purpose machinery, and railway and marine transport; special oils for the aviation industry; hydraulic, gear, turbine, compressor, transformer oils, etc.; coolants, softener oils, paraffins, etc.; and additives to fuels and oils. In addition, the company sells petrochemicals and liquefied petroleum gas, which include phenolic chain, aromatics, polymers, olefins, alcohols, oil refinement, fuel material, and other petrochemical products; lubricants, special liquids, and greases for motor cars and commercial vehicles, as well as other equipment; compressed natural gas as motor fuel; and bitumen products. Additionally, the company engages in the operation of catalyst plants; process and supply of natural, dry stripped, and associated petroleum gas; and provision of bunkering and aircraft refueling services. The company was founded in 1995 and is based in Moscow, Russia.",Integrated Oil and Gas,"Biofuel,  CleanTech,  Marine Transportation",Europe,1,1,1
69,BP p.l.c.,Statoil Shah Deniz AS,"Statoil Shah Deniz AS was incorporated in 2009 and is based in Stavanger, Norway.",Construction and Engineering,,Europe,3,1,3
70,BP p.l.c.,Trans Adriatic Pipeline AG,"Trans Adriatic Pipeline AG plans, develops, builds, and operates a natural gas pipeline. The company engages in the development and operation of the natural gas transportation infrastructure from the Greece/Turkey border to Southern Italy. Its routing facilitates gas supply to various South Eastern European countries, including Bulgaria, Albania, Bosnia and Herzegovina, Montenegro, Croatia, Germany, France, the United Kingdom, Switzerland, and Austria. Trans Adriatic Pipeline AG was incorporated in 2007 and is based in Baar, Switzerland with additional offices in Thessaloniki, Athens, Komotini, and Kozani, Greece; Tirana, Korça, Fier, Çorovoda, and Berat, Albania; Lecce and Rome, Italy.",Oil and Gas Storage and Transportation,,Europe,1,1,1
71,BP p.l.c.,"Olympic Pipe Line Company, Inc.","Olympic Pipe Line Company, Inc. operates an interstate pipeline system for transporting refined petroleum products. It also transports gasoline, diesel, and jet fuel products. The company was incorporated in 1961 and is based in Renton, Washington.",Oil and Gas Storage and Transportation,,United States and Canada,1,1,1
72,BP p.l.c.,Angola LNG Limited,"Angola LNG Limited engages in the production, distribution, and transmission of liquefied natural gas in Angola. Its services include gas supply, pipelines, and processing plants. The company was founded in 1999 and is based in Luanda, Angola.",Oil and Gas Exploration and Production,,Africa / Middle East,1,1,1
73,BP p.l.c.,Retail Logistics Excellence - RELEX Oy,"Retail Logistics Excellence - RELEX Oy develops SaaS based supply chain management software solutions. The company provides solutions, such as demand planning, promotion planning, markdown pricing and optimization, planogram and floor planning, assortment planning, automatic replenishment and allocation, end-to-end inventory planning solutions, omnichannel supply chain, fresh inventory, supply chain collaboration, store execution, workload forecasting, workforce optimization and management, and S&OE and S&OP. It allows users to automate their knowledge and expertise to select products, stores, warehouses, suppliers, or combinations; and provides agile project and process development solutions. The company also offers a floor planning solution that heralds advancement in retail space planning. It serves grocery, wholesale, specialty retail, manufacturing, DIY and building retail, consumer electronics, home and garden, and fashion and clothing sectors in the United Kingdom and internationally. The company was incorporated in 2005 and is based in Helsinki, Finland with additional offices in London and Keele, United Kingdom; Stockholm, Sweden; Oslo, Norway; Wiesbaden and Cologne, Germany; Copenhagen, Denmark; Atlanta, Georgia; Venice and Vimercate, Italy; Barcelona, Spain; Paris and Lille, France; Lisboa, Portugal; Singapore; Melbourne, Australia; Warsaw, Poland; and Hong Kong, Hong Kong.",Application Software,"Lifestyle,  Freight Service",Europe,4,1,4
74,BP p.l.c.,"Cool Planet Energy Systems, Inc.","Cool Planet Energy Systems, Inc. is an agriculture technology company that develops and markets Engineered BiocarbonTM technology products for soil health. The company's commercial product line is Cool Terra(R), which works to improve key soil performance characteristics for greater plant growth and quality. Cool Terra(R) is also carbon negative. It also offers animal nutrition, microbial, and early plant establishment products to address the growing global concerns of soil health, sustainability, and food security. Cool Planet Energy Systems was formerly known as Cool Planet BioFuels, Inc. The company was founded in 2009 and is based in Greenwood Village, Colorado. It has a location in Camarillo, California.",Coal and Consumable Fuels,Animal Feed,United States and Canada,3,1,3
75,BP p.l.c.,"ChemConnect, Inc.","ChemConnect, Inc. operates an Internet marketplace. Its business-to-business electronic exchange allows companies to buy and sell chemicals ranging from plastics to food. The company was founded in 1995 and is based in Houston, Texas. ChemConnect, Inc. operates as a subsidiary of Owens Corning U.S. Holdings, LLC",Financial Exchanges and Data,,United States and Canada,3,1,3
76,BP Ventures Limited,Carbonfree Chemicals Holdings LLC,"Carbonfree Chemicals Holdings LLC develops a proprietary technology that captures flue gases to release carbon dioxide into the environment and transform into solid carbonate materials. The company’s technologies include SkyCycle and SkyMine, which create sodium bicarbonate (baking soda), precipitated calcium carbonate (PCC), and hydrochloric acid. The company was founded in 2005 and is based in San Antonio, Texas.",Industrial Machinery and Supplies and Components,,United States and Canada,3,2,3
77,BP Ventures Limited,Fotech Solutions Limited,"Fotech Solutions Limited develops distributed acoustic sensing solutions for the oil and gas, pipeline, and security markets. It offers distributed acoustic sensor, a sensing technology that provides real-time intelligence to operatives in the oil and gas industry; LivePIPE that uses the distributed acoustic sensor to provide a layer of monitoring information; asset surveillance and monitoring solutions; and interpretive tools and data that allows engineers to visualize and record what is going on down hole and in real-time. The company offers its solutions through a network of partnerships in the United Kingdom and internationally. Fotech Solutions Limited was incorporated in 2006 and is based in Church Crookham, United Kingdom with additional offices in Calgary, Canada; and Houston, Texas.",Oil and Gas Equipment and Services,"Sensors, Sensing Solution, Sensing Technology",Europe,4,1,4
78,BP Ventures Limited,PowerShare,"Powershare designs and develops electric vehicle (EV) charging system with supporting software, which streamlines the charging experience by connecting EV drivers, charge point operators, and power suppliers. The company’s platform is a cloud-based system, which enables suppliers to monitor the demand from vehicles with the supply capacity of the grid and enables drivers to find available charging stations as well. The platform also offers point of interests (POI) data sharing, real-time reporting, statistical analysis, and real-time monitoring. The company’s products include portable charging pile, DC wall-mounted charging pile, superpower DC charger, automatic charging robot, intelligent network charging pile, charging operation management and monitoring system, smart mobile app, and charging control unit. In addition, the company offers installation and maintenance, charging resource filtering, and testing and certification services for charging pile products. The company targets auto manufacturers and industrial EV markets and serves charge point operators (CPO), manufacturers, local government, commercial estate, and original equipment manufacturers (OEMs). PowerShare is based in Suzhou, China.",Application Software,"ClimateTech,  Electric Vehicle",Asia-Pacific,4,1,4
79,BP Ventures Limited,RepairPal Inc.,"RepairPal Inc. provides auto repair and maintenance information to consumers. It offers a database of articles, reports, and references; and a centralized online location where client’s records maintained for the ownership cycle of client’s vehicle. The company was founded in 2007 and is based in San Francisco, California.",Interactive Media and Services,,United States and Canada,4,1,4
