M&A Deal Identifier,Year Completed/Unconditional (yyyy),Year of Announcement (yyyy),M&A Type,Purpose,Purpose Text,Strategic Purpose,Target Business Description,Target Ultimate Parent,Target Ultimate Parent 6-digit CUSIP,Target Ultimate Parent Business Description,Target Ultimate Parent Industry,Target Ultimate Parent Industry Group,Target Ultimate Parent Major SIC Group,Target Ultimate Parent Nation,Acquiror Ultimate Parent,Acquiror Ultimate Parent 6-digit CUSIP,Acquiror Ultimate Parent Industry,Acquiror Ultimate Parent Major SIC Group,Acquiror Ultimate Parent Nation,M&A Headline,Deal Synopsis,Singh,Arora,Neilsen,RH,Uche,Edrick
34391871602,1982,1982,Disclosed Dollar Value Deal,,,,Solar energy,Mobil Tyco Solar Energy Corp,607098,Solar energy,"Measuring, Medical, Photo Equipment; Clocks",Manufacturing Group,"Measuring Instruments, Photographic Goods, Clocks",United States,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,ExxonMobil Oil Corp acquires Mobil Tyco Solar Energy Corp for US$5M,TYCO SELLS 20% INTEREST IN MOBIL TYCO TO MOBIL OIL WHICH OWNS 80%,5,4,2,4,3,4
34391878417,1983,1983,Undisclosed Dollar Value Deal,,,,"Whl indl,personal svc paper",Colgate-Palmolive-Baggies Div,19416H,"Whl indl,personal svc paper",Wholesale Trade-Nondurable Goods,Trade Group,Wholesale Trade-Nondurable Goods,United States,Mobil Corp,607059,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Mobil Chemical Co acquires Colgate-Palmolive-Baggies Div,MOBIL CHEMICAL ACQUIRES PLASTIC BAG LINE FROM COLGATE-PALMOLIVE CO,3,2,3,3,3,3
34391878254,1983,1983,Undisclosed Dollar Value Deal,,,,Primary production of aluminum,Pechiney Ugine(Us),70515T,Primary production of aluminum,Metal and Metal Products,Manufacturing Group,Primary Metal Industries,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Alumax Inc(AMAX Inc) acquires Pechiney Ugine(Us),ALUMAX ACQUIRES PECHINEY'S U.S. UNIT;ALUMAX HAD SALES OF $1 BILLION IN 1982,2,3,3,2,3,1
34391874123,1983,1983,Stake Purchases Deal,,,,"Oil and gas exploration,prodn",Superior Oil Co,868273,"Oil and gas exploration,prodn",Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Mobil Corp,607059,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Mobil Corp acquires 35% stake in Superior Oil Co for US$5.7B,SUPERIOR RESINDS SPECIAL PFD ST DIV;WILL NOT PREVENT TAKEOVER BY SUITOR,1,1,1,1,1,1
34391874430,1984,1983,Disclosed Dollar Value Deal,,,,Truckstop,Ryder System Inc,783549,Provide truck rental and leasing services; trucking company; own and operate general automotive repair shops; wholesale aircraft equipment; provide aircraft service and repair services; trucking consultant; provide school bus charter services,Repair Services,Services Group,"Automotive Repair, Services and Parking",United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Ohio acquires Truckkstops Corp(Ryder) for US$85M,RYDER SYSTEM SELLS ITS DIVI- SION TO STANDARD FOR $85 MIL; UNIT HAD SALES $392.7 IN 1982,2,5,4,2,4,2
34391879898,1984,1984,Undisclosed Dollar Value Deal,,,,Provide special trade contracting services,EI du Pont de Nemours & Co {DuPont},263534,"EI du Pont de Nemours & Co {DuPont}, headquartered in Wilmington, Delaware, manufactures chemical and electronic products including fluoropolymers, polymer adhesives, vinyl and laminate flooring, safety glass interlayers, sandblasting materials, lighting lamps, cleaning solvents, disinfectants, lubricants, monomers, inoculants, insecticides, fungicides, optical and thermal color filters, printed circuit boards, semiconductor fabrication and packaging materials, electrical products such as varnishes, wire enamels, aramid papers and films, air/gas/liquid filtration membranes, fuel cells, paints and coatings, fire extinguishers, printing and proofing equipment, microbial characterization system, and limited combustible cabling materials; provide commercial and industrial wastewater treatment facility services; own and operate alfalfa, canola, corn, sorghum, soybean, and wheat seed hybrid farms. It also acts as an investment holding company. It was founded in 1802.",Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,United States,Mobil Corp,607059,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Mobil Chemical Co acquires Can Coating,MOBIL CHEMICAL CORP AC- QUIRES ASSETS OF DUPONT'S CAN COATING DIVISION,3,3,5,4,1,2
34391879899,1984,1984,Undisclosed Dollar Value Deal,,,,Wholesale industrial supplies,US Steel Corp,912656,"US Steel Corp is a bituminous coal mine operator. The company is located in Pittsburgh, Texas.",Mining,Natural Resources Group,Coal Mining,United States,Mobil Corp,607059,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Container Corp of America acquires Container Div(US Steel Corp),CPI ACQUIRES DIV OF US STEEL;DIV HAD 1983 SALES OF $100 MILLION,2,3,3,3,3,3
34391874029,1984,1984,Disclosed Dollar Value Deal,,,,Manufacture agricultural chemicals,OESTERREICHISCHE INDUSTRIEHOLDING AG,67616M,"Oesterreichische Industrieholding AG, located in Vienna, Austria, provides postal and parcel services. It is an investment holding company whose activities include telecommunications services, oil and gas exploration and production activities, courier services, mining services and insurance services. The company was founded in 1946.",Transportation and Shipping (except air),Services Group,Motor Freight Transportation,Austria,OESTERREICHISCHE INDUSTRIEHOLDING AG,67616M,Transportation and Shipping (except air),Motor Freight Transportation,Austria,Chemi Linz AG acquires 50% stake in Gilmore Inc for US$4.5M,CHEMIE LINZ BUYS 50% STAKE IN GILMORE INC FOR $4.5 MILLION,5,3,2,4,3,1
34391874669,1985,1984,Disclosed Dollar Value Deal,,,,"Oil and gas exploration, production; manufacture and transport oil and chemical products products",Shell Transport & Trading Co PLC,822703,"Shell Transport & Trading Co PLC is a pipeline transportation services of natural gas. The Company was founded in 1833 and is located in London, the Netherlands.","Electric, Gas, and Water Distribution",Services Group,"Electric, Gas and Sanitary Services",United Kingdom,Royal Dutch Petroleum Co,780257,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,Netherlands,Royal Dutch/Shell Group acquires Shell Oil Co for US$5.7B,JUDGE BLOCKS ROYAL'S $58/SH TENDER OFFER FOR SHELL UNTILL ROYAL DISCLOSES MORE INFO,1,1,1,5,1,1
34391876586,1984,1984,Disclosed Dollar Value Deal,,,,Process natural gas,ITT Corp,450679,"Manufacture telecommunications apparatus, electronics automotive, forest, and consumer products; provide financial services; coal mining; own and operate hotels",Hotels and Casinos,Services Group,"Hotels, Other Lodging Places",United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Sohio Petroleum(Standard Oil) acquires ITT-Gas Division for US$62M,ITT CORP SELLS ASSETS OF ITS EASON OIL CO UNIT FOR $62 MILLION,1,1,1,4,2,1
34391881418,1984,1984,Undisclosed Dollar Value Deal,,,,Wholesale nondurable goods,Blackstone Group LP,09253U,"Offers private equity and investment management services. The Company is an asset manager and provider of financial advisory services. The company provides asset management services of corporate private equity funds, real estate opportunity funds, funds of hedge funds, mezzanine funds, senior debt funds, proprietary hedge funds and closed-end mutual funds. The company provides financial advisory services, including mergers and acquisitions advisory, restructuring and reorganization advisory and fund placement services. The company invests in lodging, urban office buildings, residential properties, distribution and warehousing centers and real estate operating companies through real estate opportunity funds. The company focuses on actual and expected changes in the economic conditions in the debt and equity capital markets in all of the geographic regions in which the company conducts its business and tries to accelerate or reduce the rate of its investment or disposition activities in response to changing economic and market conditions.",Investment & Commodity Firms/Dealers/Exchanges,Financial Group,Holding and Other Investment Offices,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Amoco Fabrics & Fibers Co acquires Celanese-Polypropylene Plant,AMOCO ACQUIRES PLANT FROM CELANESE CANADA INC,3,3,1,4,4,3
34391876120,1984,1984,Stake Purchases Deal,,,,Manufacture aircraft engine components and submarine propulsion components; provide international telecommunications services,UNC Resources Inc,903070,Manufacture aircraft engine components and submarine propulsion components; provide international telecommunications services,Aerospace and Aircraft,Manufacturing Group,Transportation Equipment,United States,Chevron Corp,166751,Oil and Gas; Petroleum Refining,Petroleum Refining,United States,Chevron Corp acquires 26% stake in UNC Resources Inc for US$100M,CHEVRON BOOSTS ITS STAKE IN UNC TO 26.6%;NOW HOLDS 5 MIL SHS;MAY BUY MORE,1,5,4,5,5,4
34391876731,1985,1984,Disclosed Dollar Value Deal,,,,"Oil and gas exploration, prodn",Chevron Corp,166751,"Chevron Corp is a petroleum refinery operator. The Company is located in San Ramon, California.",Oil and Gas; Petroleum Refining,Natural Resources Group,Petroleum Refining,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Ohio acquires Chevron Corp-Refining Div for US$0.7B,CHEVRON SELLS REFINING AND MARKETING ASSETS OF GULF AS IT DIVESTS TO CUT HEAVY DEBT,1,1,1,5,1,1
34391098709,1985,1984,Disclosed Dollar Value Deal,,,,Refine petroleum; own and operate gasoline service stations,Chevron Corp,166751,"Chevron Corp is a petroleum refinery operator. The Company is located in San Ramon, California.",Oil and Gas; Petroleum Refining,Natural Resources Group,Petroleum Refining,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,"Standard Oil Co of Ohio acquires Gulf Corp-Svc Station,Refinery for US$0.7B","Standard Oil, Ohio (Sohio) acquired service stations in the Southeast and a refinery in Louisiana from Gulf, a unit of Chevron, for $690 mil. Under the terms of the agreement Sohio paid $340 mil for Gulf's marketing business in Kentucky, Tennessee, Alabama, Mississippi, Georgia, Florida, South Carolina & North Carolina, and its 200,000-barrel-a-day refinery in Louisiana. Sohio also paid $350 mil for 10 mil barrels of petroleum inventories. The contract also called for Sohio to deliver Alaskan crude oil to Chevron in exchange for Chevron's Louisiana crude.",3,1,1,1,2,1
34391341076,1984,1984,Stake Purchases Deal,,,,"Johnson Matthey PLC, located in London, the United Kingdom, manufactures and wholesales chemicals focused on catalysts, precious metals, fine chemicals and process technology. Its principal activities are the manufacture of autocatalysts, heavy duty diesel catalysts and pollution control systems, catalysts and components for fuel cells, catalysts and technologies for chemical processes, fine chemicals, chemical catalysts and active pharmaceutical ingredients and the marketing, refining, and fabrication of precious metals. The Company was founded in 1817.",Johnson Matthey PLC,479142,"Johnson Matthey PLC, located in London, the United Kingdom, manufactures and wholesales chemicals focused on catalysts, precious metals, fine chemicals and process technology. Its principal activities are the manufacture of autocatalysts, heavy duty diesel catalysts and pollution control systems, catalysts and components for fuel cells, catalysts and technologies for chemical processes, fine chemicals, chemical catalysts and active pharmaceutical ingredients and the marketing, refining, and fabrication of precious metals. The Company was founded in 1817.",Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,United Kingdom,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,British Petroleum Co PLC acquires 4% stake in Johnson Matthey PLC for US$6M,British Petroleum acquired a 4% stake in Johnson Matthey. The 4.75 mil shares (4%) were purchased for a total of $6 mil.,3,3,3,4,3,3
34391876555,1984,1984,Disclosed Dollar Value Deal,,,,Oil and gas exploration and production,Undisclosed Oil & Gas Co,9044GB,Oil and gas exploration and production,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,United States,Exxon Corp,302290,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United States,Exxon Co USA(Exxon Corp) acquires Undisclosed Oil & Gas Co for US$90M,EXXON ACQUIRES OIL RESERVES IN WEST TEXAS FOR $90 MILLION,1,1,1,1,1,1
34391099036,1984,1984,Disclosed Dollar Value Deal,,,,"Oil and gas exploration, prod",ITT Corp,450679,"Manufacture telecommunications apparatus, electronics automotive, forest, and consumer products; provide financial services; coal mining; own and operate hotels",Hotels and Casinos,Services Group,"Hotels, Other Lodging Places",United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Sohio Petroleum(Standard Oil) acquires Eason Oil-Gas Processing Div for US$62M,"Sohio Petroleum acquired the gas processing unit of Eason Oil, a division of ITT, for $62 mil. The sale was part of ITT's asset-redeployment program.",1,1,1,1,1,1
34391099709,1984,1984,Disclosed Dollar Value Deal,,,,"Oil and gas exploration, prod",ITT Corp,450679,"Manufacture telecommunications apparatus, electronics automotive, forest, and consumer products; provide financial services; coal mining; own and operate hotels",Hotels and Casinos,Services Group,"Hotels, Other Lodging Places",United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Sohio Petroleum(Standard Oil) acquires Eason Oil-Gas Processing Div for US$62M,"Sohio Petroleum, a unit of Standard Oil (Ohio) completed the acquisition of the gas-processing division of Eason Oil Co, a unit of ITT, for an indicated value of $62 mil. Sohio declined to confirm the amount.",1,1,1,2,1,1
34391097543,1985,1984,Undisclosed Dollar Value Deal,,,,Manufacture calcined coke,Chevron Corp,166751,"Chevron Corp is a petroleum refinery operator. The Company is located in San Ramon, California.",Oil and Gas; Petroleum Refining,Natural Resources Group,Petroleum Refining,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Ohio acquires Gulf Oil-Calcined Coke Bus,Standard Oil acquired the Calcine Coke business of Gulf Oil from Chevron. Terms were not disclosed.,1,2,1,2,5,3
34391098639,1985,1985,Disclosed Dollar Value Deal,,,,Wholesale petroleum,Chevron Corp,166751,"Chevron Corp is a petroleum refinery operator. The Company is located in San Ramon, California.",Oil and Gas; Petroleum Refining,Natural Resources Group,Petroleum Refining,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,Standard Oil Co of Ohio acquires Gulf Corp-Alliance Refinery for US$0.7B,"Standard Oil (Ohio) acquired a Gulf refinery in Alliance, LA and all of Gulf's wholesale and retail petroleum marketing assets in Alabama, Florida, Georgia, Kentucky, Mississippi, North and South Carolina, and Tennessee. The transaction was valued at $690 mil. The divestiture settled the Federal Trade Commission's antitrust concerns over Chevron's acquisition of Gulf. Gulf is a wholly owned subsidiary of Chevron. Goldman Sachs advised Chevron.",1,1,1,2,1,1
34391098820,1985,1985,Undisclosed Dollar Value Deal,,,,"Oil and gas exploration,prodn",Peter Kiewit Sons Inc,493876,"Construction company specializing in construction of highways, commercial buildings, mining infrastructure, and waste-disposal systems; holding company",Construction Firms,Manufacturing Group,Building Construction-General Contractors,United States,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Shell Offshore Inc acquires KMI Continental-Oil&Gas Assets,"Shell Offshore, a wholly owned subsidiary of Shell Oil acquired certain offshore oil and gas assets from KMI Continental, a subsidiary of Kiewit-Murdock investment. Goldman, Sachs initiated this transaction and acted as financial advisor to Kiewit-Murdock Investment. Terms were not disclosed.",1,1,1,1,2,1
34391341193,1985,1985,Stake Purchases Deal,,,,Oil and gas exploration and production; holding company,Woodside Petroleum Ltd,980228,Oil and gas exploration and production; holding company,Oil and Gas; Petroleum Refining,Natural Resources Group,Oil and Gas Extraction,Australia,Broken Hill Pty Co Ltd{BHP},112169,Mining,Metal Mining,Australia,"Broken Hill,Shell Australia acquires 48% stake in Woodside Petroleum Ltd for US$446M","Broken Hill Proprietary and Shell Australia raised their stake in Woodside Petroleum to 48%, as part of their 668.6 mil Australian dollars ($446 mil US) hostile takeover bid for Woodside. Initially, Broken Hill and Shell Australia had announced an unconditional AU$460.3 mil ($307 mil) takeover bid for Woodside. Shell Australia was a unit of Royal Dutch/Shell Group.",1,2,1,1,2,1
34391097846,1985,1985,Undisclosed Dollar Value Deal,,,,"Provide oil and gas exploration, refinement transportation and distribution services",US Steel Corp,912656,"US Steel Corp is a bituminous coal mine operator. The company is located in Pittsburgh, Texas.",Mining,Natural Resources Group,Coal Mining,United States,Shell Transport & Trading Co PLC,822703,"Electric, Gas, and Water Distribution","Electric, Gas and Sanitary Services",United Kingdom,Shell California Production acquires Marathon Oil Co,"Shell California Production, a subsidiary of Shell Oil Company, acquired certain California oil and gas property interests from Marathon Oil Company, a subsidiary of United States Steel. First Boston advised Marathon Oil and initiated the transaction.",1,1,1,1,2,1
34391098371,1985,1985,Undisclosed Dollar Value Deal,,,,Manufacture polyolefin and vinyl materials,Reichhold Chemicals Inc,759200,"Manufacture specialty chemicals, synthetic resins and adhesives",Chemicals and Allied Products,Manufacturing Group,Chemicals and Allied Products,United States,British Petroleum Co PLC,110889,Oil and Gas; Petroleum Refining,Oil and Gas Extraction,United Kingdom,BP North America(British Pet) acquires Reichhold Chem-Poly&Vinyl Div,"BP North America, a unit of British Petroleum, acquired the Polyolefin and Vinyl Materials Division of Reichhold Chemicals. The price was undisclosed, but the unit had a book value of more than $30 mil and reported 1984 sales of about $90 mil. Goldman Sachs advised Reichhold.",3,3,4,3,1,3
34391341024,1985,1985,Disclosed Dollar Value Deal,,,,"Manufacture pulp, paper and stationery products; wholesale printing and writing paper",Olympia & York Developments Ltd,681442,Construct single-family houses; wholesale construction materials and homefurnishings; holding company,Construction Firms,Manufacturing Group,Building Construction-General Contractors,Canada,Chevron Corp,166751,Oil and Gas; Petroleum Refining,Petroleum Refining,United States,Gulf Canada Ltd(Chevron Corp) acquires Abitibi-Price Inc for US$0.9B,"Gulf Canada (GC) acquired 90% of Abitibi-Price (AP) for an equivalent of $912.75 mil, or $16.33/sh cash. Olympia & York Development (O&YD) owned 93% of AP, and had agreed to sell up to 90% of its AP shares to GC. O&YD planned this transaction to help it finance the acquisition of 60% stake in GC held by Chevron for $2.3 bil. O&YD initially sold 83% of AP to GC, and agreed to sell an additional shares if GC fails to acquire up to 90% through a tender offer made to AP's public holders. AP's 7% shares were publicly traded. The offer was undersubscribed.",1,5,4,2,5,5
